Provinsi,Penduduk,PendudukN,Kemiskinan,IPM,UsiaProduktif,PLN,Kepadatan,Pengeluaran,PengeluaranN,KatMiskin
Aceh ,833.91,2.841,15.43,71.99,93.41,99.39,91,1080171,19.527,1
Sumatera Utara ,1356.72,4.742,9.14,71.77,93.09,97.64,203,1124253,22.539,0
Sumatera Barat ,364.79,1.135,6.56,72.38,93.12,97.39,132,1235050,30.109,0
Riau ,491.22,1.595,7.04,72.71,93.68,91.04,73,1340446,37.31,0
Jambi ,288.1,0.856,7.97,71.29,94.87,95.68,71,1126690,22.706,0
Sumatera Selatan ,1119.65,3.88,12.98,70.01,94.49,94.87,92,1022030,15.555,1
Bengkulu ,306,0.921,15.3,71.4,95.93,97.36,101,1140075,23.62,1
Lampung ,1091.14,3.777,12.76,69.69,95.33,97.81,260,974424,12.302,1
Kepulauan Bangka Belitung ,72.05,0.07,4.89,71.47,94.75,98.98,89,1501844,48.338,0
Kepulauan Riau ,142.61,0.327,6.13,75.59,89.66,95.85,252,1773521,66.899,0
DKI Jakarta ,496.84,1.615,4.69,80.77,89.05,99.99,15907,2257991,100,0
Jawa Barat ,4188.52,15.041,8.43,72.09,89.54,99.64,1365,1324960,36.252,0
Jawa Tengah ,4119.93,14.792,11.84,71.87,93.52,99.85,1113,1018487,15.313,1
DI Yogyakarta ,503.14,1.638,12.8,79.97,95.43,99.74,1171,1411972,42.197,1
Jawa Timur ,4585.97,16.486,11.46,71.71,94.16,99.47,851,1064382,18.449,1
Banten ,857.64,2.927,6.63,72.45,89.36,99.39,1232,1517044,49.376,0
Bali ,196.92,0.524,4.45,75.5,94.37,99.75,747,1509666,48.872,0
Nusa Tenggara Barat ,746.04,2.522,14.23,68.25,95.78,99.43,286,1089764,20.183,1
Nusa Tenggara Timur ,1173.53,4.076,21.21,65.19,95.72,74.05,109,794361,0,1
Kalimantan Barat ,370.71,1.157,7.24,67.66,94.19,86.48,37,1125063,22.595,0
Kalimantan Tengah ,141.78,0.324,5.26,71.05,95.42,85.73,17,1333318,36.823,0
Kalimantan Selatan ,206.92,0.561,4.83,70.91,95.26,98.04,105,1335457,36.969,0
Kalimantan Timur ,243.99,0.696,6.64,76.24,93.13,95.46,29,1754195,65.579,0
Kalimantan Utara ,52.7,0,7.41,70.63,95.03,93.36,9,1545689,51.333,0
Sulawesi Utara ,195.85,0.521,7.78,72.93,92.63,99.27,189,1211839,28.523,0
Sulawesi Tengah ,403.74,1.277,13.06,69.55,96.23,92.79,48,1035777,16.494,1
Sulawesi Selatan ,800.24,2.719,8.99,71.93,93.69,97.1,194,1057864,18.003,0
Sulawesi Tenggara ,317.32,0.962,11.69,71.45,95.42,95.47,69,1037799,16.632,1
Gorontalo ,185.31,0.482,15.59,68.68,95.72,97.34,104,1068282,18.715,1
Sulawesi Barat ,159.05,0.387,11.5,66.11,96.68,87.8,85,893761,6.791,1
Maluku ,322.4,0.981,17.99,68.49,92.43,89.99,39,1083921,19.784,1
Maluku Utara ,87.52,0.127,6.97,68.49,94.85,89.22,40,1092824,20.392,0
Papua Barat ,215.22,0.591,21.7,65.09,93.2,83.09,11,1395014,41.039,1
Papua ,912.23,3.126,26.8,60.44,95.72,43.14,13,1309714,35.211,1
